frame_index,pedestrian_count,density_ped_per_m2,occupancy_ratio,mean_speed_m_s,velocity_variance,acceleration_m_s2,directional_entropy,inflow_rate_per_s,outflow_rate_per_s,net_flow_rate_per_s,egress_deficit_ratio,trajectory_convergence,temporal_density_change,temporal_speed_change
0,8.0,0.0,0.094,32.296,873.854,0.0,2.25,0.0,0.0,0.0,0.0,0.187,0.0,0.0
1,8.0,0.0,0.098,25.355,307.845,0.0,1.811,0.0,0.0,0.0,0.0,0.486,0.0,0.0
2,8.0,0.0,0.101,41.522,1454.379,0.0,2.156,0.0,0.0,0.0,0.0,0.633,0.0,0.0
3,7.0,0.0,0.101,54.291,2788.459,0.0,1.842,0.0,0.0,0.0,0.0,0.71,0.0,0.0
4,9.0,0.0,0.11,60.609,3062.558,0.0,1.837,0.0,0.0,0.0,0.0,0.833,0.0,0.0
5,9.0,0.0,0.11,42.046,1679.483,0.0,1.53,0.0,0.0,0.0,0.0,0.828,0.0,0.0
6,10.0,0.0,0.112,19.179,341.615,0.0,1.895,0.0,0.0,0.0,0.0,0.795,0.0,0.0
7,10.0,0.0,0.111,26.506,332.313,0.0,1.846,0.0,0.0,0.0,0.0,0.619,0.0,0.0
8,10.0,0.0,0.109,44.652,755.851,0.0,2.171,0.0,0.0,0.0,0.0,0.557,0.0,0.0
9,9.0,0.0,0.102,36.47,387.266,0.0,2.503,0.0,0.0,0.0,0.0,0.483,0.0,0.0
10,9.0,0.0,0.101,58.215,971.177,0.0,1.658,0.0,0.0,0.0,0.0,0.683,0.0,0.0
11,9.0,0.0,0.097,69.792,1653.734,0.0,1.447,0.0,0.0,0.0,0.0,0.698,0.0,0.0
12,10.0,0.0,0.097,43.172,761.971,0.0,2.446,0.0,0.0,0.0,0.0,0.435,0.0,0.0
13,10.0,0.0,0.095,22.828,522.389,0.0,2.446,0.0,0.0,0.0,0.0,0.463,0.0,0.0
14,9.0,0.0,0.088,33.089,590.893,0.0,2.113,0.0,0.0,0.0,0.0,0.378,0.0,0.0
15,9.0,0.0,0.086,27.826,305.133,0.0,2.059,0.0,0.0,0.0,0.0,0.436,0.0,0.0
16,9.0,0.0,0.084,24.973,223.244,0.0,2.059,0.0,0.0,0.0,0.0,0.559,0.0,0.0
17,10.0,0.0,0.088,62.802,5609.404,0.0,1.571,0.0,0.0,0.0,0.0,0.227,0.0,0.0
