frame_index,pedestrian_count,occupancy_ratio,congestion_score
355,13,0.3941,0.5476
356,13,0.394,0.5476
357,13,0.3836,0.5434
359,13,0.3825,0.543
358,13,0.3815,0.5426
366,12,0.4044,0.5218
365,12,0.4042,0.5217
364,12,0.4008,0.5203
363,12,0.3965,0.5186
362,12,0.3918,0.5167
361,12,0.3846,0.5138
354,12,0.3824,0.513
360,12,0.3715,0.5086
372,11,0.399,0.4896
367,11,0.3933,0.4873
371,11,0.3931,0.4872
368,11,0.3926,0.487
370,11,0.391,0.4864
369,11,0.3901,0.486
353,11,0.3781,0.4812
352,11,0.3751,0.48
347,12,0.2951,0.478
346,12,0.292,0.4768
351,11,0.367,0.4768
345,12,0.2889,0.4756
344,12,0.2854,0.4742
350,11,0.3434,0.4674
374,10,0.3988,0.4595
373,10,0.3972,0.4589
375,10,0.3963,0.4585
376,10,0.3951,0.458
377,10,0.3944,0.4578
378,10,0.3793,0.4517
379,10,0.3767,0.4507
290,12,0.2217,0.4487
304,12,0.2164,0.4466
303,12,0.2147,0.4459
302,12,0.2126,0.4451
348,11,0.2825,0.443
334,11,0.278,0.4412
335,11,0.2777,0.4411
336,11,0.2673,0.4369
343,11,0.2612,0.4345
341,11,0.2605,0.4342
340,11,0.2589,0.4336
342,11,0.2484,0.4294
380,9,0.3644,0.4158
381,9,0.3625,0.415
382,9,0.362,0.4148
383,9,0.358,0.4132
349,10,0.2822,0.4129
384,9,0.3528,0.4111
291,11,0.2025,0.411
292,11,0.2021,0.4108
293,11,0.2016,0.4106
294,11,0.2015,0.4106
320,10,0.2749,0.41
333,10,0.2735,0.4094
319,10,0.2732,0.4093
338,10,0.2642,0.4057
337,10,0.2626,0.405
314,10,0.2601,0.404
313,10,0.2572,0.4029
315,10,0.2567,0.4027
312,10,0.2519,0.4008
339,10,0.25,0.4
311,10,0.2414,0.3966
310,10,0.2343,0.3937
309,10,0.2223,0.3889
328,9,0.2815,0.3826
327,9,0.2812,0.3825
329,9,0.2802,0.3821
330,9,0.2802,0.3821
281,10,0.2045,0.3818
280,10,0.2024,0.381
326,9,0.2763,0.3805
325,9,0.2748,0.3799
289,10,0.199,0.3796
301,10,0.1985,0.3794
299,10,0.1962,0.3785
324,9,0.271,0.3784
298,10,0.1955,0.3782
297,10,0.1948,0.3779
300,10,0.1943,0.3777
296,10,0.1929,0.3771
331,9,0.2676,0.377
295,10,0.1918,0.3767
305,10,0.1916,0.3766
323,9,0.2663,0.3765
322,9,0.265,0.376
321,9,0.2643,0.3757
317,9,0.2628,0.3751
332,9,0.2622,0.3749
316,9,0.2596,0.3739
318,9,0.2581,0.3732
208,10,0.1769,0.3707
209,10,0.1764,0.3705
189,10,0.15,0.36
190,10,0.1484,0.3593
191,10,0.1481,0.3592
248,10,0.1415,0.3566
275,9,0.2148,0.3559
274,9,0.2136,0.3554
276,9,0.2132,0.3553
204,10,0.1351,0.354
224,10,0.13,0.352
223,10,0.1289,0.3516
218,10,0.1284,0.3514
205,10,0.1281,0.3512
222,10,0.126,0.3504
